CountryName,CountryCode,IndicatorName,IndicatorCode,YYY,2013,2014,2015,2016,2017
East Asia & Pacific,EAS,"Armed forces personnel, total",MS.MIL.TOTL.P1,8628630,8629430,8527430,8380930,8322570,8192000
Europe & Central Asia (excluding high income),ECA,"Armed forces personnel, total",MS.MIL.TOTL.P1,2990180,2786580,2910580,3064850,3053700,3038000
Europe & Central Asia,ECS,"Armed forces personnel, total",MS.MIL.TOTL.P1,5032780,4797650,4906450,5042650,5034020,4990000
Ecuador,ECU,"Armed forces personnel, total",MS.MIL.TOTL.P1,58500,58983,40750,40750,40750,41000
"Egypt, Arab Rep.",EGY,"Armed forces personnel, total",MS.MIL.TOTL.P1,835500,835500,835500,835500,835500,836000
Euro area,EMU,"Armed forces personnel, total",MS.MIL.TOTL.P1,1536150,1518650,1493200,1479480,1480450,1445000
Eritrea,ERI,"Armed forces personnel, total",MS.MIL.TOTL.P1,201750,201750,201750,201750,201750,202000
Spain,ESP,"Armed forces personnel, total",MS.MIL.TOTL.P1,215600,213950,200000,199950,197950,196000
Estonia,EST,"Armed forces personnel, total",MS.MIL.TOTL.P1,5750,5750,5750,6400,6400,6000
Ethiopia,ETH,"Armed forces personnel, total",MS.MIL.TOTL.P1,138000,138000,138000,138000,138000,138000
European Union,EUU,"Armed forces personnel, total",MS.MIL.TOTL.P1,2194700,2164550,2149800,2131480,2117800,2067000
Fragile and conflict affected situations,FCS,"Armed forces personnel, total",MS.MIL.TOTL.P1,3153630,2435450,2460600,2460950,2368530,2298000
Finland,FIN,"Armed forces personnel, total",MS.MIL.TOTL.P1,25000,25000,25000,24900,24200,25000
Fiji,FJI,"Armed forces personnel, total",MS.MIL.TOTL.P1,3500,3500,3500,3500,3500,4000
France,FRA,"Armed forces personnel, total",MS.MIL.TOTL.P1,325600,318400,312350,306350,306100,307000
Gabon,GAB,"Armed forces personnel, total",MS.MIL.TOTL.P1,6700,6700,6700,6700,6700,7000
United Kingdom,GBR,"Armed forces personnel, total",MS.MIL.TOTL.P1,169150,159150,154700,152350,150250,148000
Georgia,GEO,"Armed forces personnel, total",MS.MIL.TOTL.P1,32350,32350,32350,26050,26050,26000
Ghana,GHA,"Armed forces personnel, total",MS.MIL.TOTL.P1,15500,15500,15500,15500,15500,16000
Guinea,GIN,"Armed forces personnel, total",MS.MIL.TOTL.P1,12300,12300,12300,12300,12300,13000
"Gambia, The",GMB,"Armed forces personnel, total",MS.MIL.TOTL.P1,800,800,800,800,800,1000
Guinea-Bissau,GNB,"Armed forces personnel, total",MS.MIL.TOTL.P1,6450,6450,6450,4450,4450,4000
Equatorial Guinea,GNQ,"Armed forces personnel, total",MS.MIL.TOTL.P1,1320,1320,1320,1320,1450,1000
Greece,GRC,"Armed forces personnel, total",MS.MIL.TOTL.P1,147350,148950,146950,146950,145350,146000
Guatemala,GTM,"Armed forces personnel, total",MS.MIL.TOTL.P1,42300,42300,43050,43050,43050,43000
Guyana,GUY,"Armed forces personnel, total",MS.MIL.TOTL.P1,1100,1100,3400,3400,3400,3000
High income,HIC,"Armed forces personnel, total",MS.MIL.TOTL.P1,5786270,5710840,5549590,5508420,5532130,5392000
Honduras,HND,"Armed forces personnel, total",MS.MIL.TOTL.P1,20000,20000,18700,18700,22700,23000
Heavily indebted poor countries (HIPC),HPC,"Armed forces personnel, total",MS.MIL.TOTL.P1,1644050,1631670,1634820,1638270,1526100,1506000
Croatia,HRV,"Armed forces personnel, total",MS.MIL.TOTL.P1,19550,19550,19550,18550,18550,18000
Haiti,HTI,"Armed forces personnel, total",MS.MIL.TOTL.P1,50,120,120,120,200,0
Hungary,HUN,"Armed forces personnel, total",MS.MIL.TOTL.P1,38500,38500,38500,38500,39800,40000
IBRD only,IBD,"Armed forces personnel, total",MS.MIL.TOTL.P1,16557144,15777903,16067760,16196530,16286360,16407000
IDA & IBRD total,IBT,"Armed forces personnel, total",MS.MIL.TOTL.P1,21198474,20382153,20649760,20827630,20837140,20860000
IDA total,IDA,"Armed forces personnel, total",MS.MIL.TOTL.P1,4641330,4604250,4582000,4631100,4550780,4453000
IDA blend,IDB,"Armed forces personnel, total",MS.MIL.TOTL.P1,1325780,1326080,1304080,1352080,1353780,1371000
Indonesia,IDN,"Armed forces personnel, total",MS.MIL.TOTL.P1,676500,676500,676500,675500,675500,676000
IDA only,IDX,"Armed forces personnel, total",MS.MIL.TOTL.P1,3315550,3278170,3277920,3279020,3197000,3082000
India,IND,"Armed forces personnel, total",MS.MIL.TOTL.P1,2728700,2749700,2749700,2798800,2981050,3031000
Ireland,IRL,"Armed forces personnel, total",MS.MIL.TOTL.P1,9350,9350,9100,9100,9100,9000
"Iran, Islamic Rep.",IRN,"Armed forces personnel, total",MS.MIL.TOTL.P1,563000,563000,563000,563000,563000,563000
Iraq,IRQ,"Armed forces personnel, total",MS.MIL.TOTL.P1,802400,177600,209000,209000,209000,209000
Iceland,ISL,"Armed forces personnel, total",MS.MIL.TOTL.P1,180,200,200,250,250,0
Israel,ISR,"Armed forces personnel, total",MS.MIL.TOTL.P1,184500,184500,184500,184500,184500,178000
Italy,ITA,"Armed forces personnel, total",MS.MIL.TOTL.P1,359500,359500,356850,356850,356850,347000
Jamaica,JAM,"Armed forces personnel, total",MS.MIL.TOTL.P1,2830,2830,3450,3450,3950,4000
Jordan,JOR,"Armed forces personnel, total",MS.MIL.TOTL.P1,115500,115500,115500,115500,115500,116000
Japan,JPN,"Armed forces personnel, total",MS.MIL.TOTL.P1,259800,259800,259800,259800,260890,261000
Kazakhstan,KAZ,"Armed forces personnel, total",MS.MIL.TOTL.P1,70500,70500,70500,70500,70500,71000
Kenya,KEN,"Armed forces personnel, total",MS.MIL.TOTL.P1,29100,29100,29100,29100,29100,29000
Kyrgyz Republic,KGZ,"Armed forces personnel, total",MS.MIL.TOTL.P1,20400,20400,20400,20400,20400,21000
Cambodia,KHM,"Armed forces personnel, total",MS.MIL.TOTL.P1,191300,191300,191300,191300,191300,191000
"Korea, Rep.",KOR,"Armed forces personnel, total",MS.MIL.TOTL.P1,659500,659500,632500,634500,634000,634000
Kuwait,KWT,"Armed forces personnel, total",MS.MIL.TOTL.P1,22600,22600,22600,22600,22600,25000
Latin America & Caribbean (excluding high income),LAC,"Armed forces personnel, total",MS.MIL.TOTL.P1,2321724,2334903,2468910,2494510,2507090,2580000
Lao PDR,LAO,"Armed forces personnel, total",MS.MIL.TOTL.P1,129100,129100,129100,129100,129100,129000
Lebanon,LBN,"Armed forces personnel, total",MS.MIL.TOTL.P1,80000,80000,80000,80000,80000,80000
Liberia,LBR,"Armed forces personnel, total",MS.MIL.TOTL.P1,2050,2050,2050,2050,2050,2000
Latin America & Caribbean,LCN,"Armed forces personnel, total",MS.MIL.TOTL.P1,2470964,2484593,2621950,2657600,2682630,2756000
Least developed countries: UN classification,LDC,"Armed forces personnel, total",MS.MIL.TOTL.P1,3170580,3133200,3004450,3008550,2892530,2843000
Low income,LIC,"Armed forces personnel, total",MS.MIL.TOTL.P1,3235750,3198370,3172120,3173220,3317050,3200000
Sri Lanka,LKA,"Armed forces personnel, total",MS.MIL.TOTL.P1,223100,223100,223100,265200,305200,317000
Lower middle income,LMC,"Armed forces personnel, total",MS.MIL.TOTL.P1,8505130,8377080,8458480,8606580,8690680,8754000
Low & middle income,LMY,"Armed forces personnel, total",MS.MIL.TOTL.P1,22368104,21495783,21760040,21928860,22010220,22022000
Lesotho,LSO,"Armed forces personnel, total",MS.MIL.TOTL.P1,2000,2000,2000,2000,2000,2000
Late-demographic dividend,LTE,"Armed forces personnel, total",MS.MIL.TOTL.P1,9609744,9527790,9576830,9699100,9681800,9684000
Lithuania,LTU,"Armed forces personnel, total",MS.MIL.TOTL.P1,23350,21950,27400,28330,29650,34000
Luxembourg,LUX,"Armed forces personnel, total",MS.MIL.TOTL.P1,1510,1510,1510,1500,1500,2000
Latvia,LVA,"Armed forces personnel, total",MS.MIL.TOTL.P1,5310,5310,5310,5310,5310,6000
Morocco,MAR,"Armed forces personnel, total",MS.MIL.TOTL.P1,245800,245800,245800,245800,245800,246000
Moldova,MDA,"Armed forces personnel, total",MS.MIL.TOTL.P1,7750,7750,7750,7550,7550,7000
Madagascar,MDG,"Armed forces personnel, total",MS.MIL.TOTL.P1,21600,21600,21600,21600,21600,22000
Middle East & North Africa,MEA,"Armed forces personnel, total",MS.MIL.TOTL.P1,3986540,3320240,3329240,3326240,3366090,3315000
Mexico,MEX,"Armed forces personnel, total",MS.MIL.TOTL.P1,329750,325450,336050,336050,336050,336000
Middle income,MIC,"Armed forces personnel, total",MS.MIL.TOTL.P1,19132354,18297413,18587920,18755640,18693170,18822000
North Macedonia,MKD,"Armed forces personnel, total",MS.MIL.TOTL.P1,8000,8000,8000,15600,15600,16000
Mali,MLI,"Armed forces personnel, total",MS.MIL.TOTL.P1,7800,11800,13800,15800,17800,18000
Malta,MLT,"Armed forces personnel, total",MS.MIL.TOTL.P1,2130,2130,2130,2130,2130,2000
Myanmar,MMR,"Armed forces personnel, total",MS.MIL.TOTL.P1,513250,513250,513250,513250,513250,513000
Middle East & North Africa (excluding high income),MNA,"Armed forces personnel, total",MS.MIL.TOTL.P1,3399050,2718250,2727250,2724250,2754400,2707000
Montenegro,MNE,"Armed forces personnel, total",MS.MIL.TOTL.P1,12180,12180,12180,12050,12050,12000
Mongolia,MNG,"Armed forces personnel, total",MS.MIL.TOTL.P1,17200,17500,17500,17500,17500,18000
Mozambique,MOZ,"Armed forces personnel, total",MS.MIL.TOTL.P1,11200,11200,11200,11200,11200,11000
Mauritania,MRT,"Armed forces personnel, total",MS.MIL.TOTL.P1,20850,20850,20850,20850,20850,21000
Mauritius,MUS,"Armed forces personnel, total",MS.MIL.TOTL.P1,2500,2500,2500,2550,2550,3000
Malawi,MWI,"Armed forces personnel, total",MS.MIL.TOTL.P1,6800,6800,6800,6800,14900,15000
Malaysia,MYS,"Armed forces personnel, total",MS.MIL.TOTL.P1,133600,133600,133600,133600,133600,136000
North America,NAC,"Armed forces personnel, total",MS.MIL.TOTL.P1,1558200,1498850,1451450,1414800,1415900,1431000
Namibia,NAM,"Armed forces personnel, total",MS.MIL.TOTL.P1,15200,15200,15200,15200,15900,16000
Niger,NER,"Armed forces personnel, total",MS.MIL.TOTL.P1,10700,10700,10700,10700,10700,10000
Nigeria,NGA,"Armed forces personnel, total",MS.MIL.TOTL.P1,162000,162000,162000,200000,200000,215000
Nicaragua,NIC,"Armed forces personnel, total",MS.MIL.TOTL.P1,12000,12000,12000,12000,12000,12000
Netherlands,NLD,"Armed forces personnel, total",MS.MIL.TOTL.P1,43300,43300,41900,41310,41310,41000
